,snip,latitud,longitud
583,264473,14.719115,-90.64648
584,296116,14.719115,-90.64648
585,371655,14.719115,-90.64648
586,186360,14.719115,-90.64648
587,73931,14.719115,-90.64648
588,298201,14.719115,-90.64648
589,333452,14.719115,-90.64648
590,281107,14.719115,-90.64648
591,342990,14.719115,-90.64648
592,42281,14.719115,-90.64648
593,336934,14.719115,-90.64648
594,296115,14.719115,-90.64648
595,149685,14.719115,-90.64648
596,264475,14.719115,-90.64648
597,344836,14.719115,-90.64648
598,264477,14.719115,-90.64648
599,243348,14.719115,-90.64648
600,154328,14.719115,-90.64648
601,299611,14.719115,-90.64648
602,118382,14.719115,-90.64648
603,299996,14.719115,-90.64648
604,357781,14.719115,-90.64648
605,357159,14.719115,-90.64648
606,344834,14.719115,-90.64648
607,360000,14.719115,-90.64648
608,186356,14.719115,-90.64648
609,371660,14.719115,-90.64648
610,137480,14.719115,-90.64648
611,154331,14.719115,-90.64648
612,315190,14.719115,-90.64648
613,154719,14.719115,-90.64648
614,172258,14.719115,-90.64648
615,260750,14.719115,-90.64648
616,300038,14.719115,-90.64648
617,243394,14.719115,-90.64648
618,184965,14.719115,-90.64648
619,344842,14.719115,-90.64648
620,324224,14.719115,-90.64648
621,298200,14.719115,-90.64648
622,56724,14.719115,-90.64648
623,304694,14.719115,-90.64648
624,154592,14.719115,-90.64648
625,371639,14.719115,-90.64648
626,371652,14.719115,-90.64648
627,371640,14.719115,-90.64648
628,371654,14.719115,-90.64648
629,186345,14.719115,-90.64648
630,137488,14.719115,-90.64648
631,259055,14.719115,-90.64648
632,154718,14.719115,-90.64648
633,333079,14.719115,-90.64648
634,168504,14.719115,-90.64648
635,296017,14.719115,-90.64648
636,336935,14.719115,-90.64648
637,343818,14.719115,-90.64648
638,305778,14.719115,-90.64648
639,296018,14.719115,-90.64648
640,186380,14.719115,-90.64648
641,371651,14.719115,-90.64648
642,145112,14.719115,-90.64648
643,349752,14.719115,-90.64648
644,357223,14.719115,-90.64648
645,186378,14.719115,-90.64648
646,168503,14.719115,-90.64648
647,357161,14.719115,-90.64648
648,333083,14.719115,-90.64648
649,298203,14.719115,-90.64648
650,170879,14.719115,-90.64648
651,41703,14.765919,-90.59437
652,118653,14.765919,-90.59437
653,283389,14.765919,-90.59437
654,279622,14.765919,-90.59437
655,56612,14.765919,-90.59437
656,318323,14.765919,-90.59437
657,33973,14.765919,-90.59437
658,43397,14.765919,-90.59437
659,43361,14.765919,-90.59437
660,295781,14.765919,-90.59437
661,295770,14.765919,-90.59437
662,44685,14.765919,-90.59437
663,242451,14.765919,-90.59437
664,356034,14.765919,-90.59437
665,33818,14.765919,-90.59437
666,56689,14.765919,-90.59437
667,242623,14.765919,-90.59437
668,352907,14.765919,-90.59437
669,119251,14.765919,-90.59437
670,41646,14.765919,-90.59437
671,118622,14.765919,-90.59437
672,242440,14.765919,-90.59437
673,44675,14.765919,-90.59437
674,247752,14.765919,-90.59437
675,295784,14.765919,-90.59437
676,43391,14.765919,-90.59437
677,43363,14.765919,-90.59437
678,171327,14.765919,-90.59437
679,41685,14.765919,-90.59437
